국가,이전,현재,단위
아르헨티나,45450,47850,ARS / 월
호주,773,812,AUD / 주
브라질,1212,1212,BRL / 월
캐나다,15,15.5,CAD / 시간
중국,2590,2590,CNY / 월
프랑스,1603,1646,EUR / 월
독일,10.45,12,EUR / 시간
인도,178,178,INR / 일
인도네시아,4.42,4.64,IDR - 백만 / 월
일본,902,930,JPY / 시간
멕시코,173,173,MXN / 일
네덜란드,1725,1756,EUR / 월
러시아,13890,15279,RUB / 월
남아프리카 공화국,21.69,23.19,ZAR/시간
대한민국,8720,9160,원 / 시간
스페인,1108,1126,EUR / 월
터키,5008,5008,/ 월 TRY
연합 왕국,8.91,9.5,GBP / 시간
미국,7.25,7.25,USD / 시간
