국가,최저시급,GDP
아르헨티나,12.217666666666666,12391
호주,112.59200000000001,58780
브라질,7.550666666666667,8551
캐나다,12.0497,43946
중국,12.76,11188
프랑스,55.68,38210
독일,12.1764,42527
인도,0.3183714285714286,1961
인도네시아,10.302333333333333,3856
일본,6.7909,35278
멕시코,1.2092714285714286,9255
네덜란드,59.4,48424
러시아,8.413666666666666,10220
남아프리카 공화국,1.37238,5865
대한민국,6.9708,32645
스페인,38.09,26239
터키,9.348333333333333,13251
연합 왕국,11.4513,46209
미국,7.25,61280
